rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
702,6,"The Lauridsen Group, Inc.",unclassified food/bev mfr,,Ankeny,Iowa,http://www.apcproteins.com,5.1267352000000006E8,750,Private,Dawn Kucera — Executive Vice President Cfo,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
703,6,"The Lion Brewery, Inc.",unclassified food/bev mfr,,Wilkes Barre,Pennsylvania,http://www.lionbrewery.com,4.5091499E7,135,Private,Michael Clarke — Vice President And Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
704,6,"The Little Potato Company Usa, Inc.",unclassified food/bev mfr,,Deforest,Wisconsin,http://www.littlepotatoes.com,2.3382275E7,52,Private,Angela Santiago — Co Founder,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
705,6,"The Masterson Company, Inc.",unclassified food/bev mfr,,Milwaukee,Wisconsin,http://www.mastersonfoods.com,4.6454338E7,200,Private,Jenelle Roberts — Vice President Of Finance Administration Treasurer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
706,6,The Mushroom Company,unclassified food/bev mfr,,Cambridge,Maryland,http://www.southmill.com,2.8726936E7,75,Private,Ruth Newhard — Vice President Of Sales,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
707,6,The Noel Corporation,unclassified food/bev mfr,,Yakima,Washington,http://www.noelcorp.com,2.4699549E7,255,Private,J Noel — Vice President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
708,6,The Olds Products Co. Of Illinois,unclassified food/bev mfr,,Pleasant Prairie,Wisconsin,http://www.oldsproducts.com,2.4929155E7,80,Private,Timothy Mc Avoy — Sales Vice President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
709,6,The Simply Good Foods Company,unclassified food/bev mfr,,Denver,Colorado,http://www.thesimplygoodfoodscompany.com,1.4509199E9,328,Public,"Joseph Scalzo — President, Chief Executive Officer, Director",3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
710,6,"The Wine Group, Inc.",unclassified food/bev mfr,,Ripon,California,http://www.thewinegroup.com,9.5971626E7,250,Private,Aren Korte — Executive Vice President,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
711,6,Thistle Health Inc.,unclassified food/bev mfr,,Vacaville,California,http://www.thistle.co,2.4486755E7,400,Private,Ashwin Cheriyan — Chief Executive Officer CoFounder,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
